period,strategy,num_assets,total_return,sharpe_ratio,max_drawdown,win_rate,crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
2022,Individual Asset,,,,,,DOT-USD,2022-01-02,2022-12-30,363 days,100.0,85.80506411123274,-14.194935888767265,-85.4581023979557,30.001833533062534,2.1848178811073304,15.18942242406523,278 days 00:00:00,96.0,95.0,1.0,0.008637508392333983,31.57894736842105,20.874432997943636,-21.328697485743785,4.50002881579346,-3.9777305777221903,2 days 23:12:00,1 days 12:11:04.615384615,0.5241361150349724,-0.14951129891746925,-1.747057544007635,-0.9392905197915685,0.7018392008894677,-2.26101196310851
2022,Individual Asset,,,,,,LUNA-USD,2022-01-02,2022-12-30,363 days,100.0,100.0,0.0,13151.322998854701,0.0,0.0,nan,NaT,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,NaT,NaT,nan,nan,inf,nan,inf,inf
2022,Individual Asset,,,,,,AVAX-USD,2022-01-02,2022-12-30,363 days,100.0,76.13432390975949,-23.865676090240513,-90.39614718933073,95.44966933839322,6.242295429229735,36.833637171165,271 days 00:00:00,83.0,83.0,0.0,0.0,33.734939759036145,22.758646628698273,-30.684142598742547,5.774135793312675,-4.209905445942427,3 days 16:17:08.571428571,1 days 12:13:05.454545454,0.7360771736347831,-0.2875382661474757,-0.5056318260277841,-0.6510344928366637,0.8949934178465605,-0.6820521095111012
2022,Individual Asset,,,,,,DOGE-USD,2022-01-02,2022-12-30,363 days,100.0,99.96689456459134,-0.033105435408651865,-60.77819891631799,0.1850634217986497,0.017859453894197935,0.1172061354290647,269 days 00:00:00,92.0,92.0,0.0,0.0,26.08695652173913,102.98223551546177,-22.20659920755716,9.76092909991285,-3.123877968750172,3 days 17:00:00,1 days 08:07:03.529411764,0.8516868256518162,-0.00035984168922447704,-0.3862795706509199,-0.2840107646089974,0.9112285058866971,-0.5677760351760313
2023,Equal Weight Portfolio,10.0,0.11863946205322673,0.8136051548879711,-0.10328089503968363,0.35537190082644626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Individual Asset,,,,,,BTC-USD,2023-01-02,2023-12-30,363 days,100.0,177.04627691193178,77.04627691193177,152.61093777667676,100.0,24.805331213289872,17.439487345982393,219 days 00:00:00,85.0,85.0,0.0,0.0,35.294117647058826,21.951030527276448,-5.375739598434719,4.989289228415851,-1.5165274516242857,2 days 17:36:00,1 days 01:18:32.727272727,1.6160534283718275,0.9064267871991962,1.8434999141884598,4.449923142282096,1.5617931447797941,4.056389523380704
2023,Individual Asset,,,,,,ETH-USD,2023-01-02,2023-12-30,363 days,100.0,141.55137264543316,41.55137264543316,88.70069113339105,100.0,20.543575189452113,28.65048835760411,262 days 00:00:00,83.0,83.0,0.0,0.0,33.734939759036145,21.565954757084867,-8.18112596771415,4.907636265363975,-1.7304484745188111,3 days 13:42:51.428571428,1 days 04:48:00,1.337992076035841,0.5006189475353391,1.1667927601493517,1.4597531541027529,1.2790711227085274,2.0371006434675616
2023,Individual Asset,,,,,,BNB-USD,2023-01-02,2023-12-30,363 days,100.0,100.69453565102408,0.6945356510240828,29.173042986019702,100.0,17.37944103817608,41.69413641133223,344 days 00:00:00,95.0,94.0,1.0,-0.10069453565101583,38.297872340425535,17.307767629629804,-8.04453604800582,3.3091566905995435,-1.9341786849904976,3 days 02:00:00,1 days 07:26:53.793103448,1.007403673338909,0.008459895602926926,0.1987070575445214,0.016749972180662976,1.041002564223968,0.3000909099589957
2023,Individual Asset,,,,,,XRP-USD,2023-01-02,2023-12-30,363 days,100.0,100.05834713667632,0.05834713667631142,78.40575758454125,0.8195992117094683,0.09004321604967114,0.18727135114451632,173 days 00:00:00,89.0,89.0,0.0,0.0,31.46067415730337,52.40056979334261,-10.245086547351628,5.624636153776707,-2.2276778475199754,2 days 23:08:34.285714285,1 days 02:45:14.754098360,1.083229335446785,0.000655585805351815,0.14599258194748668,0.31328178297617115,1.0559333837220675,0.35308614657227033
2023,Individual Asset,,,,,,ADA-USD,2023-01-02,2023-12-30,363 days,100.0,100.2725817540139,0.27258175401389584,137.15430241489614,0.6631058060558975,0.05814330489933492,0.133198256888825,312 days 00:00:00,83.0,83.0,0.0,0.0,36.144578313253014,35.21344048399773,-6.94705230363669,6.50396598369566,-2.098092445123102,3 days 11:12:00,1 days 05:26:02.264150943,1.6515561331158577,0.003284117518239711,1.3066951767152664,2.0577269142701393,1.3783778784522456,2.612414817793738
2023,Individual Asset,,,,,,DOGE-USD,2023-01-02,2023-12-30,363 days,100.0,99.99030655063689,-0.00969344936311245,26.162282800894275,0.10179206343614608,0.012997454032301903,0.041334385188082474,344 days 00:00:00,86.0,86.0,0.0,0.0,39.53488372093023,16.80719965330976,-9.17492049103718,3.69565152660089,-2.3789293452303792,3 days 07:45:52.941176470,1 days 06:00:00,0.9021147999833834,-0.00011271452747805199,-0.2811805968190905,-0.23580498779180356,0.9462086917391166,-0.39742626658995295
2023,Individual Asset,,,,,,MATIC-USD,2023-01-02,2023-12-30,363 days,100.0,100.08437639373541,0.08437639373540806,22.057310231049264,1.5182302861076988,0.15193772417306897,0.7751365958872747,316 days 00:00:00,88.0,88.0,0.0,0.0,34.090909090909086,25.432468002142755,-8.879914161242185,6.987313719018194,-2.9334802702721547,3 days 15:12:00,1 days 04:33:06.206896551,1.053653169687477,0.0009588226560841816,0.17368876397132277,0.10945357895524659,1.0361037512111366,0.2657861156114306
2023,Individual Asset,,,,,,DOT-USD,2023-01-02,2023-12-30,363 days,100.0,100.73193867301941,0.7319386730194068,86.45946319132437,9.12296716866122,0.9941446056365966,3.8386929993872854,344 days 00:00:00,91.0,90.0,1.0,-0.00837086296081543,33.33333333333333,23.2527197617664,-8.889708644819914,5.275083558600136,-2.229092320645491,3 days 07:12:00,1 days 08:00:00,1.09399969023891,0.008225661510891352,0.25499120176392515,0.19172832968282197,1.0565409377901545,0.41717485835836193
2023,Individual Asset,,,,,,LTC-USD,2023-01-02,2023-12-30,363 days,100.0,97.1006992912291,-2.8993007087708946,-2.0706795288548463,99.84007639433518,14.348080768585199,28.17908125819849,181 days 00:00:00,88.0,88.0,0.0,0.0,40.909090909090914,25.925038592055273,-13.500655182735782,4.395568113704197,-2.8277941263547706,3 days 10:40:00,1 days 05:32:18.461538461,0.9772402382473839,-0.032946598963303986,0.16340588413880078,-0.10344693906986709,1.0376352326372014,0.26167327332085244
2023,Individual Asset,,,,,,SHIB-USD,2023-01-02,2023-12-30,363 days,100.0,100.0000123370003,1.2337000303432407e-05,24.9999971578291,1.4999998585468282e-05,6.630000048062356e-07,2.1169995139661627e-06,122 days 00:00:00,34.0,34.0,0.0,0.0,41.17647058823529,21.999996634869724,-11.300003365130278,12.718423871981887,-1.7262504627054136,3 days 01:42:51.428571428,1 days 19:12:00,4.631732884651769,3.6285295010095384e-07,1.8879627990793761,5.859695470112895,1.9742556819258443,3.2786720511755365
2024,Equal Weight Portfolio,10.0,0.18257925967483946,0.9451134271093148,-0.13872747666650498,0.4230769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
